spam	asunto	texto
0	Leer informe de análisis de mercado	Lea el informe para comprender mejor la situación del mercado en su sector.
0	Actualizar información personal en aplicaciones de salud	Asegúrese de que los datos de salud en sus aplicaciones estén correctos y completos.
0	Consultar resultados de exámenes anuales de salud	Revise los resultados de sus exámenes anuales para monitorear su estado de salud.
0	Notificar de pérdida de documento oficial importante	Informe de inmediato para evitar posibles problemas de identidad.
0	Reportar accidente laboral a recursos humanos	Si ha sufrido un accidente en el trabajo, notifíquelo inmediatamente para recibir asistencia.
0	Solicitar ayuda para persona enferma en lugar público	Pida ayuda a las autoridades o servicios de emergencia si ve a alguien en problemas de salud.
0	Atender un problema crítico de cliente	Un cliente tiene una situación crítica que necesita ser atendida inmediatamente para evitar problemas.
0	Confirmar asistencia a evento profesional inminente	Confirme si asistirá a un evento importante que inicia pronto.
0	Reportar incidente de seguridad en la empresa	Si ha notado una posible vulnerabilidad, informe a seguridad de inmediato.
0	Recibir resultados críticos de una prueba médica	Es fundamental conocer el resultado para tomar decisiones rápidas en cuanto a tratamiento.
0	Atender requerimiento de auditoría en la empresa	Es necesario cumplir con los documentos solicitados por los auditores para evitar sanciones.
0	Coordinar ayuda para una emergencia familiar	Un familiar necesita apoyo inmediato debido a una situación grave.
0	Solicitar renovación de un permiso de trabajo próximo a vencerse	Si el permiso vence pronto, es fundamental renovarlo para seguir trabajando.
0	Revisar sistema de respaldo tras fallo reciente en servidores	Realice una revisión completa del sistema de respaldo para evitar pérdidas de datos.
0	Solicitar intervención para resolver conflicto en el equipo	Si hay un conflicto que afecta el trabajo, es necesario buscar una solución rápida.
0	Revisar pedido de cliente antes de fin de mes para entrega	Un pedido necesita ser revisado para cumplir con la fecha de entrega establecida.
0	Notificar sospecha de fraude en cuentas corporativas	Si nota actividad sospechosa en la cuenta corporativa, informe al departamento de finanzas.
0	Recibir confirmación de vuelos antes de viajar	Es importante asegurarse de que los vuelos estén confirmados para evitar retrasos.
0	Consultar médicos por posible reacción alérgica grave	Si nota síntomas graves, consulte a un médico de inmediato.
1	Actualiza tu cuenta para evitar el bloqueo	Verifica tus datos ahora y mantén tu cuenta activa.
1	¡Gran venta de liquidación! Hasta el 80% de descuento	Aprovecha esta oferta antes de que se acabe.
1	Reclama tu tarjeta de crédito preaprobada	Solicita hoy y recibe tu tarjeta en 24 horas.
1	¡Te has ganado un viaje gratis!	Participa y descubre si eres el afortunado ganador de unas vacaciones de lujo.
1	¿Quieres ganar dinero desde casa?	Únete a nuestro equipo y comienza a ganar desde la comodidad de tu hogar.
1	No te pierdas nuestras ofertas diarias exclusivas	Inscríbete para recibir ofertas especiales en tu correo.
1	Consigue el cuerpo que siempre has querido	Descubre nuestros suplementos y transforma tu vida.
1	Última oportunidad: productos gratis a cambio de tu opinión	Completa nuestra encuesta y recibe productos sin costo.
1	Incrementa tus ingresos con este simple truco	Aprende cómo puedes hacer dinero extra cada mes.
1	Descubre cómo conseguir seguidores en redes sociales rápidamente	Implementa nuestros consejos y verás resultados inmediatos.
0	Responder consulta de cliente insatisfecho	Responda al cliente rápidamente para evitar problemas de reputación.
0	Planificar transporte de carga sensible antes de la fecha límite	Asegúrese de que la carga llegue a tiempo para evitar pérdidas.
0	Entregar documentos a notaría para trámite urgente	Los documentos deben ser entregados hoy para avanzar en un trámite legal.
0	Revisión del proyecto de diseño	Realicemos una revisión del diseño la próxima semana. Organízate para discutir algunos ajustes.
0	Actualización de software	La próxima semana se implementará una actualización de sistema. Por favor, asegúrate de respaldar tu información.
0	Control de rutina	Te recordamos tu consulta médica de control para el próximo martes. Confirma tu asistencia.
0	Revisión de contrato laboral	Es importante que revises los nuevos términos de tu contrato para asegurar que todo esté en orden.
0	Recordatorio de limpieza de primavera	Este fin de semana haremos limpieza general. Revisa tus áreas asignadas para asegurar que estén listas.
0	Preparación de informes mensuales	Prepara el informe mensual para la próxima semana. Este reporte será revisado en la siguiente junta.
0	Organización de documentos fiscales	Te recordamos organizar tus documentos fiscales para la próxima declaración. Tienes hasta final de mes.
0	Cancelación de cita médica	Llama de inmediato a tu médico para reprogramar tu cita cancelada de hoy.
1	¡Hazte rico desde casa!	Descubre cómo miles están ganando dinero en línea con nuestro sistema fácil.
1	Inversión garantizada con altos rendimientos	Únete a nuestro grupo exclusivo de inversores y asegura tu futuro.
1	Ofertas especiales solo para ti	Compra productos de marca con descuentos increíbles, ¡solo por tiempo limitado!
1	¡Tu factura de celular podría ser más baja!	Verifica si eres elegible para descuentos especiales en tu plan.
1	Obtén un préstamo sin verificación de crédito	Accede a dinero rápido y fácil, sin complicaciones.
1	¡Sé el primero en conocer nuestros nuevos productos!	Regístrate ahora y recibe actualizaciones exclusivas y ofertas.
1	Ofrecemos servicios de limpieza a precios imbatibles	Contáctanos para obtener un presupuesto gratuito.
1	Descubre el secreto para una piel perfecta	Prueba nuestro tratamiento revolucionario, ¡satisfacción garantizada!
1	¡No más preocupaciones financieras!	Aprende a eliminar tus deudas de forma rápida y efectiva.
1	Recibe un cheque de $1,000 solo por registrarte	No te pierdas esta oportunidad única de ganar dinero fácil.
0	Error en facturación de cliente	Hemos detectado un error en la facturación. Necesitamos resolverlo hoy mismo.
0	Rotura de cañerías en casa	Hay una fuga de agua importante en el sótano. Llama a un plomero lo antes posible.
0	Presentación final de proyecto	Necesitamos completar la presentación del proyecto para enviarla mañana por la mañana sin falta.
0	Alerta de virus informático	Se detectó un virus en el servidor principal. El equipo de seguridad debe solucionarlo urgentemente.
0	Análisis de emergencia para cirugía	Realiza los análisis de laboratorio hoy para proceder con la cirugía urgente de mañana.
0	Corte de energía programado	Hoy habrá un corte de energía en la oficina. Asegúrate de respaldar tu trabajo en las próximas horas.
1	¡Gana un iPhone gratis!	Participa en nuestro sorteo y podrías ser el afortunado ganador.
1	Revela el secreto para perder peso rápido	Descubre nuestra dieta revolucionaria que todos están usando.
1	Obtén un préstamo de hasta $10,000 sin verificación de crédito	Aplica hoy y recibe el dinero en tu cuenta.
1	¡Tu cuenta ha sido comprometida!	Confirma tu identidad para asegurar tu información personal.
1	Aprovecha la oferta de suscripción gratuita por un mes	Regístrate ahora y disfruta de nuestro servicio premium sin costo.
1	Consulta médica gratuita con solo un clic	Recibe atención médica profesional sin salir de casa.
1	Ofertas de trabajo desde casa para todos	Consulta nuestras oportunidades laborales y comienza a trabajar hoy.
1	¡Sorpresa! Has sido seleccionado para un regalo exclusivo	Reclama tu regalo antes de que se acabe.
1	Aprende a invertir en criptomonedas sin riesgos	Inscríbete y comienza a ganar dinero con nuestras guías.
1	No te pierdas la oportunidad de mejorar tu crédito	Consulta gratuita para obtener asesoramiento financiero.
